variety,colour,grape_colour
abbuoto,red,NA
abouriou,red,noir
abrusco,red,NA
acitana,red,NA
acolon,red,noir
adakaras?,red,NA
addoraca,white,NA
agh shani,red,blanc
agiorgitiko,red,noir
aglianico,red,black
aglianicone,red,NA
aidini,white,NA
airÈn,white,white
alarije,white,blanc
albalonga,white,NA
albana,white,blanc
albanella,white,NA
albanello bianco,white,NA
albaranzeuli bianco,white,NA
albaranzeuli nero,red,NA
albarello,white,blanc
albariÒo,white,blanc
albarola,white,NA
albarossa,red,NA
albillo,white,blanc
aleatico,red,black
aleksandrouli,red,noir
alfrocheiro preto,red,noir
alicante bouschet,red,noir
alicante ganzin,red,NA
aligotÈ,white,blanc
alionza,white,NA
altesse,white,blanc
alvarelh„o,red,noir
amigne,white,blanc
ancellotta,red,noir
ansonica,white,blanc
ant„o vaz,white,blanc
aramon,red,noir
arbane,white,blanc
arbois,white,blanc
argaman,red,noir
argant,red,noir
arilla,white,NA
arinto,white,white
arneis,white,blanc
arnsburger,white,blanc
arrouya noir,red,NA
arrufiac,white,blanc
arvesiniadu,white,NA
aspiran,red,noir
asprinio bianco,white,NA
assyrtiko,white,blanc
athiri,white,blanc
aubin blanc,white,blanc
aubin vert,white,NA
aubun,red,noir
aurore,white,blanc
auxerrois blanc,white,blanc
avan„†,red,NA
avarengo,red,NA
avesso,white,blanc
azal branco,white,white
azal tinto,red,noir
b?beasc? neagr?,red,noir
babi?,red,red
bacchus,white,blanc
bachet noir,red,noir
baco blanc,white,blanc
baco noir,red,noir
baga,red,noir
balzac blanc,white,NA
baratuciat,white,NA
barbarossa,red,NA
barbaroux,red,rose
barbera,red,noir
barbera bianca,white,NA
barbera del sannio,red,NA
barbera sarda,red,NA
bariadorgia,white,NA
baroque,white,blanc
barsaglina,red,NA
bayan shirey,white,white
beaunoir,red,noir
beba,white,blanc
bellone,red,NA
bÈquignol noir,red,NA
besgano bianco,white,NA
bia blanc,white,NA
bianca,white,NA
biancame,white,NA
bianchetta trevigiana,white,NA
bianco d'alessano,white,NA
biancolella,white,NA
biancone di portoferraio,white,NA
bical,white,blanc
bigolona,white,NA
black muscat,red,NA
blatina,red,red
blatterle,white,NA
blauburger,red,noir
blauer portugieser,red,NA
blaufr‰nkisch,red,NA
boal,white,blanc
bobal,red,NA
bo?azkere,red,NA
bogdanuöa,white,blanc
bombino bianco,white,blanc
bombino nero,red,NA
bonamico,red,NA
bonarda piemontese,red,NA
bonda,red,NA
bondola,red,NA
borba blanca,white,NA
bosco,white,NA
bouchalËs,red,NA
bourboulenc,white,blanc
bouteillan noir,red,NA
bouvier,white,blanc
bovale,red,NA
bracciola nera,red,NA
brachetto,red,NA
braquet,red,NA
breidecker,white,blanc
bronner,white,blanc
brugnola,red,NA
brun argentÈ,red,noir
brun fourca,red,NA
brustiano bianco,white,NA
brustiano faux,white,blanc
bubbierasco,red,NA
bukettraube,white,blanc
burger,white,blanc
busuioac? de bohotin,red,rouge
ca„≠Òo blanco,white,NA
cabernet blanc,white,NA
cabernet dorsa,red,NA
cabernet franc,red,blue-black
cabernet gernischt,red,NA
cabernet mitos,red,NA
cabernet sauvignon,red,black
caiÒo tinto,red,NA
calabrese montenuovo,red,NA
caladoc,red,noir
calitor,red,noir
Áalkaras?,red,NA
camaralet,white,NA
camaraou noir,red,NA
canaiolo,red,noir
canari noir,red,NA
caprettone,white,NA
carignan,red,noir
